CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.12908,6.8E-4,0.1023,0.0143,-0.0143,Lustig-Yaeger et al. 2023,0.03198,0.00216,-0.00232,Calculated,0.0868,0.0061,-0.0061,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12976,6.8E-4,0.0929,0.0146,-0.0146,Lustig-Yaeger et al. 2023,0.03048,0.00231,-0.0025,Calculated,0.0827,0.0065,-0.0065,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13043,6.8E-4,0.1015,0.0153,-0.0153,Lustig-Yaeger et al. 2023,0.03186,0.00232,-0.0025,Calculated,0.0865,0.0065,-0.0065,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13111,6.8E-4,0.1111,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.03333,0.00205,-0.00219,Calculated,0.0905,0.0058,-0.0058,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13178,6.8E-4,0.1127,0.0147,-0.0147,Lustig-Yaeger et al. 2023,0.03357,0.00212,-0.00227,Calculated,0.0911,0.006,-0.006,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13246,6.8E-4,0.0931,0.0152,-0.0152,Lustig-Yaeger et al. 2023,0.03051,0.0024,-0.0026,Calculated,0.0828,0.0068,-0.0068,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13313,6.8E-4,0.0916,0.0146,-0.0146,Lustig-Yaeger et al. 2023,0.03027,0.00232,-0.00252,Calculated,0.0821,0.0066,-0.0066,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13381,6.8E-4,0.1051,0.0147,-0.0147,Lustig-Yaeger et al. 2023,0.03242,0.00219,-0.00235,Calculated,0.088,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13449,6.8E-4,0.0877,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.02961,0.00231,-0.0025,Calculated,0.0804,0.0065,-0.0065,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13516,6.8E-4,0.0968,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.03111,0.00219,-0.00236,Calculated,0.0844,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.13584,6.8E-4,0.0841,0.0143,-0.0143,Lustig-Yaeger et al. 2023,0.029,0.00237,-0.00258,Calculated,0.0787,0.0067,-0.0067,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
