531 1505.074397 2.533E-25 6.883E-02.10020.119 1809.82810.590.000000       2 1 1 1        2 1 1 0                     P 32      336650 1 1 1 1 1 0    63.0   65.0
531 1505.075691 1.383E-20 5.628E+01.07300.091 1190.25180.750.000000       0 0 0 1        0 0 0 0                     P104      464440 1 2 1 1 1 0   207.0  209.0
531 1505.093553 2.770E-25 6.979E+01.11240.140 3094.46020.690.000000       0 0 0 3        0 0 0 2                     P 18      336650 1 1 1 1 1 0    35.0   37.0
531 1505.116171 2.218E-21 6.855E+01.09180.115 1433.68100.640.000000       0 3 1 1        0 3 1 0                     P 45      336650 1 1 1 1 1 0    89.0   91.0
531 1505.136757 9.152E-25 6.845E-02.08690.111 1660.93860.730.000000       2 0 0 1        2 0 0 0                     P 56      335540 1 1 1 1 1 0   111.0  113.0
531 1505.168925 2.253E-29 6.979E+01.08770.112 5261.64850.720.000000       3 0 0 3        0 1 1 3                     P 54      335540 1 1 1 1 1 0   107.0  109.0
531 1505.191494 9.351E-21 9.571E+01.08330.107 1285.83010.760.000000       0 2 0 1        0 2 0 0                     P 66      335540 1 1 1 1 1 0   131.0  133.0
531 1505.228146 2.042E-22 6.839E+01.08370.108 2000.23230.760.000000       0 0 0 2        0 0 0 1                     P 65      335540 1 1 1 1 1 0   129.0  131.0
531 1505.264361 8.352E-21 2.052E+02.08540.110 1446.18780.750.000000       1 1 1 1        1 1 1 0                     P 60      335540 1 1 1 1 1 0   119.0  121.0
531 1505.272981 3.687E-20 3.415E+02.08370.108 1262.11090.760.000000       0 2 2 1        0 2 2 0                     P 65      335540 1 1 1 1 1 0   129.0  131.0
531 1505.275373 1.342E-20 6.825E+01.07770.099 1194.33490.770.000000       0 1 1 1        0 1 1 0                     P 85      335540 1 1 1 1 1 0   169.0  171.0
531 1505.309056 6.626E-27 6.920E-03.10550.126 2043.26770.630.000000       3 0 0 1        3 0 0 0                     P 26      336650 1 1 1 1 1 0    51.0   53.0
531 1505.341306 2.541E-25 6.892E-02.10110.120 1802.74810.600.000000       2 1 1 1        2 1 1 0                     P 31      336650 1 1 1 1 1 0    61.0   63.0
